date,home,away,y,pH,pD,pA
2018-11-11,Arsenal FC,Wolverhampton Wanderers,1,0.694573840443,0.207741526953,0.097684632603
2018-11-11,Manchester City,Manchester United,0,0.659469203406,0.215482925082,0.125047871512
2018-11-24,Fulham FC,Southampton FC,0,0.350215262650,0.286982888428,0.362801848922
2018-11-24,Manchester United,Crystal Palace,1,0.694813385883,0.209611892570,0.095574721546
2018-11-24,Watford FC,Liverpool FC,2,0.149204276084,0.241399096200,0.609396627716
2018-11-24,Tottenham Hotspur,Chelsea FC,0,0.445195869690,0.288144915789,0.266659214521
2018-11-25,AFC Bournemouth,Arsenal FC,2,0.266801393126,0.275053003829,0.458145603045
2018-11-26,Burnley FC,Newcastle United,2,0.419643790176,0.298666748255,0.281689461569
2018-12-01,Crystal Palace,Burnley FC,0,0.479983246601,0.269806134818,0.250210618581
2018-12-01,Manchester City,AFC Bournemouth,0,0.820437282607,0.140231417783,0.039331299610
2018-12-01,Southampton FC,Manchester United,1,0.175846666160,0.251295629339,0.572857704501
2018-12-02,Chelsea FC,Fulham FC,0,0.793580938240,0.156709587604,0.049709474156
2018-12-02,Arsenal FC,Tottenham Hotspur,0,0.342894292803,0.282594198646,0.374511508551
2018-12-02,Liverpool FC,Everton FC,0,0.673452675821,0.215888397559,0.110658926620
2018-12-04,Watford FC,Manchester City,2,0.071270963759,0.187941268426,0.740787767815
2018-12-05,Wolverhampton Wanderers,Chelsea FC,0,0.137583350969,0.242791815450,0.619624833581
2018-12-05,Everton FC,Newcastle United,1,0.571732621197,0.255190138077,0.173077240726
2018-12-05,Burnley FC,Liverpool FC,2,0.104578692319,0.227256909015,0.668164398665
2018-12-05,Manchester United,Arsenal FC,1,0.429618192182,0.285471344417,0.284910463400
2018-12-05,Tottenham Hotspur,Southampton FC,0,0.755961941287,0.179011174952,0.065026883762
2018-12-08,AFC Bournemouth,Liverpool FC,2,0.143854065405,0.252087161660,0.604058772935
2018-12-08,Manchester United,Fulham FC,0,0.753892886611,0.181220806830,0.064886306559
2018-12-08,Chelsea FC,Manchester City,0,0.228269743386,0.276592587580,0.495137669034
2018-12-09,Newcastle United,Wolverhampton Wanderers,2,0.440357263369,0.279216586030,0.280426150601
2018-12-10,Everton FC,Watford FC,1,0.554060770175,0.253157523631,0.192781706194
2018-12-15,Manchester City,Everton FC,0,0.771484798903,0.170945905457,0.057569295640
2018-12-15,Tottenham Hotspur,Burnley FC,0,0.769091765959,0.172083449032,0.058824785009
2018-12-15,Wolverhampton Wanderers,AFC Bournemouth,0,0.408079058090,0.273486034644,0.318434907265
2018-12-16,Southampton FC,Arsenal FC,0,0.161185483179,0.249513866295,0.589300650526
2018-12-16,Liverpool FC,Manchester United,0,0.575922131795,0.243950018379,0.180127849825
2018-12-21,Wolverhampton Wanderers,Liverpool FC,2,0.114446207456,0.225018961043,0.660534831501
2018-12-22,Arsenal FC,Burnley FC,0,0.717134068293,0.196343650054,0.086522281653
2018-12-22,Manchester City,Crystal Palace,2,0.814676274476,0.145682042387,0.039641683137
2018-12-22,Newcastle United,Fulham FC,1,0.547254581749,0.256171587597,0.196573830654
2018-12-23,Everton FC,Tottenham Hotspur,2,0.196307125396,0.261530255717,0.542162618887
2018-12-26,Fulham FC,Wolverhampton Wanderers,1,0.324233290146,0.290350328773,0.385416381080
2018-12-26,Burnley FC,Everton FC,2,0.322586828771,0.282008266241,0.395404904988
2018-12-26,Liverpool FC,Newcastle United,0,0.796985147720,0.155612125353,0.047402726927
2018-12-26,Tottenham Hotspur,AFC Bournemouth,0,0.746144317895,0.181655373576,0.072200308529
2018-12-26,Watford FC,Chelsea FC,2,0.190845120519,0.263799264388,0.545355615093
2018-12-29,Tottenham Hotspur,Wolverhampton Wanderers,2,0.777680553849,0.165344488900,0.056974957251
2018-12-29,Watford FC,Newcastle United,1,0.484464986638,0.274433710493,0.241101302869
2018-12-29,Liverpool FC,Arsenal FC,0,0.605131234462,0.238833154034,0.156035611504
2018-12-30,Crystal Palace,Chelsea FC,2,0.190977518465,0.259778510330,0.549243971205
2018-12-30,Southampton FC,Manchester City,2,0.090131960209,0.198342820265,0.711525219526
2018-12-30,Manchester United,AFC Bournemouth,0,0.682699928156,0.208551546147,0.108748525697
2019-01-01,Arsenal FC,Fulham FC,0,0.740100800193,0.188930213751,0.070968986056
2019-01-02,AFC Bournemouth,Watford FC,1,0.421803541803,0.299630903953,0.278565554244
2019-01-02,Chelsea FC,Southampton FC,1,0.742386229160,0.184616213007,0.072997557832
2019-01-02,Wolverhampton Wanderers,Crystal Palace,2,0.446433953813,0.279711525932,0.273854520255
2019-01-02,Newcastle United,Manchester United,2,0.156005385107,0.252521158448,0.591473456444
2019-01-03,Manchester City,Liverpool FC,0,0.448774017890,0.289857034562,0.261368947548
2019-01-12,Burnley FC,Fulham FC,0,0.539684646270,0.265363300788,0.194952052941
2019-01-12,Crystal Palace,Watford FC,2,0.453138134610,0.279761854731,0.267100010659
2019-01-12,Chelsea FC,Newcastle United,0,0.748175857520,0.180256165624,0.071567976856
2019-01-13,Everton FC,AFC Bournemouth,0,0.492941601314,0.271087068413,0.235971330273
2019-01-13,Tottenham Hotspur,Manchester United,2,0.506238216613,0.270486010036,0.223275773351
2019-01-14,Manchester City,Wolverhampton Wanderers,0,0.804106792116,0.152447595313,0.043445612572
2019-01-19,Liverpool FC,Crystal Palace,0,0.780905037230,0.164364707278,0.054730255492
2019-01-19,Southampton FC,Everton FC,0,0.344917290970,0.288940825388,0.366141883642
2019-01-19,Watford FC,Burnley FC,1,0.456859283220,0.277414841255,0.265725875525
2019-01-19,Arsenal FC,Chelsea FC,0,0.366334081808,0.291310327375,0.342355590817
2019-01-20,Fulham FC,Tottenham Hotspur,2,0.084778321883,0.199947244460,0.715274433657
2019-01-29,Manchester United,Burnley FC,1,0.714541061862,0.198935962013,0.086522976125
2019-01-29,Newcastle United,Manchester City,0,0.074554428551,0.196123528545,0.729322042904
2019-01-30,Southampton FC,Crystal Palace,1,0.417444266484,0.287780438237,0.294775295279
2019-01-30,AFC Bournemouth,Chelsea FC,0,0.194384431588,0.273257436071,0.532358132342
2019-01-30,Tottenham Hotspur,Watford FC,0,0.738106704239,0.186839981349,0.075053314412
2019-02-02,Tottenham Hotspur,Newcastle United,0,0.758827975335,0.176247569669,0.064924454996
2019-02-02,Crystal Palace,Fulham FC,0,0.557713021022,0.256684360748,0.185602618230
2019-02-02,Burnley FC,Southampton FC,1,0.459406714621,0.272846244794,0.267747040585
2019-02-02,Everton FC,Wolverhampton Wanderers,2,0.504313740711,0.263092882806,0.232593376483
2019-02-03,Manchester City,Arsenal FC,0,0.630536022513,0.229900169894,0.139563807593
2019-02-06,Everton FC,Manchester City,2,0.121624090583,0.227104850985,0.651271058433
2019-02-09,Fulham FC,Manchester United,2,0.100512815143,0.217711631458,0.681775553399
2019-02-09,Liverpool FC,AFC Bournemouth,0,0.749975436067,0.182451418634,0.067573145299
2019-02-09,Watford FC,Everton FC,0,0.389607140532,0.289410268837,0.320982590631
2019-02-10,Manchester City,Chelsea FC,0,0.635615856140,0.225977108151,0.138407035708
2019-02-11,Wolverhampton Wanderers,Newcastle United,1,0.492567726034,0.272337335887,0.235094938078
2019-02-23,Burnley FC,Tottenham Hotspur,0,0.136930854297,0.235100782099,0.627968363604
2019-02-23,AFC Bournemouth,Wolverhampton Wanderers,1,0.423163856456,0.286084539911,0.290751603633
2019-02-24,Manchester United,Liverpool FC,1,0.343454694896,0.286903094799,0.369642210306
2019-02-24,Arsenal FC,Southampton FC,0,0.662505914238,0.225195963427,0.112298122335
2019-02-26,Newcastle United,Burnley FC,0,0.413952794655,0.280572928590,0.305474276755
2019-02-27,Arsenal FC,AFC Bournemouth,0,0.654801048931,0.223885432859,0.121313518210
2019-02-27,Southampton FC,Fulham FC,0,0.556736867086,0.251818335592,0.191444797323
2019-02-27,Liverpool FC,Watford FC,0,0.750824950888,0.182367830580,0.066807218532
2019-02-27,Crystal Palace,Manchester United,2,0.193811233205,0.261824743460,0.544364023336
2019-02-27,Chelsea FC,Tottenham Hotspur,0,0.337430886997,0.309582313382,0.352986799621
2019-03-02,Tottenham Hotspur,Arsenal FC,1,0.502876202849,0.273773503147,0.223350294005
2019-03-02,Burnley FC,Crystal Palace,2,0.407624626288,0.292124820230,0.300250553482
2019-03-02,AFC Bournemouth,Manchester City,2,0.082003283679,0.204827251906,0.713169464415
2019-03-02,Manchester United,Southampton FC,0,0.730758491269,0.192062190416,0.077179318315
2019-03-03,Fulham FC,Chelsea FC,2,0.116942309363,0.215687953194,0.667369737443
2019-03-03,Everton FC,Liverpool FC,1,0.140652656918,0.242299656519,0.617047686563
2019-03-09,Newcastle United,Everton FC,0,0.391476390037,0.281594314889,0.326929295074
2019-03-09,Southampton FC,Tottenham Hotspur,0,0.154326983527,0.242507789341,0.603165227132
2019-03-09,Manchester City,Watford FC,0,0.807311951100,0.148276822056,0.044411226844
2019-03-10,Liverpool FC,Burnley FC,0,0.774921852274,0.165898901323,0.059179246403
2019-03-10,Chelsea FC,Wolverhampton Wanderers,1,0.652228151988,0.233775391917,0.113996456095
2019-03-10,Arsenal FC,Manchester United,0,0.380160665452,0.288103727457,0.331735607091
2019-03-16,AFC Bournemouth,Newcastle United,1,0.418475603722,0.295676621624,0.285847774654
2019-03-17,Fulham FC,Liverpool FC,2,0.051935474630,0.173160776326,0.774903749044
2019-03-17,Everton FC,Chelsea FC,0,0.227984435706,0.269411866356,0.502603697939
2019-03-30,Fulham FC,Manchester City,2,0.034633582706,0.143561536932,0.821804880362
2019-03-30,Burnley FC,Wolverhampton Wanderers,0,0.379564081779,0.298495274188,0.321940644033
